Report Generated on: *01 ноября 2023 (среда)*

-----------------------------------Memory Audit Script----------------------------------------

---------------------------General and Virtual Memory Overview -------------------------------


Memory Overview:
------------------------------------Memory Usage----------------------------------------------

  PID USER             %MEM      VSZ    RSS
17607 somaiyahsultani   0.0 408507840      0
17608 somaiyahsultani   0.0 408498624      0
17617 somaiyahsultani   0.0 408628464      0
17623 somaiyahsultani   0.0 408506816      0
17631 somaiyahsultani   0.0 408645872      0
17637 somaiyahsultani   0.0 408505792      0
17639 somaiyahsultani   0.0 408637680      0
17645 somaiyahsultani   0.0 408505792      0
17647 somaiyahsultani   0.0 408637680      0
17649 somaiyahsultani   0.0 408496576      0
17658 somaiyahsultani   0.0 408636656      0
17664 somaiyahsultani   0.0 408506816      0
17666 somaiyahsultani   0.0 408636656      0
17672 somaiyahsultani   0.0 408497600      0
17674 somaiyahsultani   0.0 408628464      0
17676 somaiyahsultani   0.0 408506816      0
17683 somaiyahsultani   0.0 408627440      0
17687 somaiyahsultani   0.0 408627440      0
17691 somaiyahsultani   0.0 408636656      0
17704 somaiyahsultani   0.0 408506816      0
17705 somaiyahsultani   0.0 408505792      0
17708 somaiyahsultani   0.0 408515008      0
17715 somaiyahsultani   0.0 408636656      0
17719 somaiyahsultani   0.0 408637680      0
17728 somaiyahsultani   0.0 408505792      0
17729 somaiyahsultani   0.0 408516032      0
17928 somaiyahsultani   0.0 408209136    944
18622 somaiyahsultani   1.1 410502048 181088
18623 somaiyahsultani   0.3 408990144  50720
18624 somaiyahsultani   0.1 408742720   8672
18625 somaiyahsultani   0.0 408255216    880
18633 somaiyahsultani   0.0 408247680   2192
18698 root              0.0 408218016   4704
18885 somaiyahsultani   0.0 408856448   2432
18886 somaiyahsultani   0.0 408270832   1024
18887 somaiyahsultani   0.0 408198208      0
18921 somaiyahsultani   0.0 408265024   3616
19185 root              0.2 408342768  32560
19195 _driverkit        0.0 408497920    848
19805 somaiyahsultani   0.7 1585843584 112832
19807 somaiyahsultani   0.0 441604928   4208
19808 somaiyahsultani   0.3 442092048  45456
19809 somaiyahsultani   0.2 441891328  25616
19810 somaiyahsultani   0.0 409121088   6208
19811 somaiyahsultani   1.1 1597856112 188528
19819 somaiyahsultani   0.3 1585116976  55520
19844 somaiyahsultani   0.4 409002384  59952
19845 somaiyahsultani   0.1 408743232  19584
19869 somaiyahsultani   0.0 408695744   6112
19870 somaiyahsultani   0.0 409378608   4528
19916 somaiyahsultani   0.1 408283536  23888
20026 somaiyahsultani   0.3 514985408  54608
20028 somaiyahsultani   0.6 498936544  96224
20029 somaiyahsultani   0.0 409247040   4304
20410 somaiyahsultani   0.0 409098560   4368
20461 somaiyahsultani   0.4 500028240  63552
20462 somaiyahsultani   0.0 409379136   4480
20463 somaiyahsultani   0.0 408975680   4560
20498 somaiyahsultani   0.3 409853472  51872
20499 somaiyahsultani   0.0 408817984   4352
20868 somaiyahsultani   0.0 408228080   4672
21934 somaiyahsultani   0.0 408975680   4336
21947 somaiyahsultani   1.0 414612000 167264
21950 somaiyahsultani   0.0 408197184   3408
21951 somaiyahsultani   0.0 408987328   6272
22206 somaiyahsultani   0.0 408210000   7056
22207 somaiyahsultani   0.0 408215616   3408
22305 somaiyahsultani   0.0 408198208   3408
22394 somaiyahsultani   0.2 408452112  31584
22396 somaiyahsultani   0.1 408074896   9200
22398 somaiyahsultani   0.0 408967488   4384
22399 somaiyahsultani   0.3 408978944  50768
22400 somaiyahsultani   0.1 408741696  19376
22401 somaiyahsultani   0.0 408817984   4368
22429 somaiyahsultani   0.0 409378112   4368
22430 somaiyahsultani   0.0 408966464   4336
25077 somaiyahsultani   1.6 515689952 271504
25107 somaiyahsultani   0.0 409115968   4352
25167 somaiyahsultani   0.0 408827200   4368
25304 somaiyahsultani   2.3 498003520 383440
26488 somaiyahsultani   0.1 408211072   9408
26573 somaiyahsultani   0.0 408536624   5056
26575 root              0.0 408536608   3776
26576 _trustd           0.1 408270688  12528
26580 somaiyahsultani   0.1 408352624  23136
26581 _spotlight        0.0 408257184   6256
26778 root              0.0 408209568   5568
26782 somaiyahsultani   0.0 408209584   7168
27187 _locationd        0.0 408211104   5520
27205 _netbios          0.0 408198592   4768
27420 somaiyahsultani   0.0 408247024   4608
27438 somaiyahsultani   0.6 410007248 101984
27440 somaiyahsultani   0.0 408834368   4336
27447 somaiyahsultani   0.0 408779248   1632
27506 somaiyahsultani   0.2 409609136  37056
27507 somaiyahsultani   0.1 408741696  18832
27509 somaiyahsultani   0.0 408827200   4384
27550 somaiyahsultani   0.2 408318480  30944
27566 somaiyahsultani   0.4 409856144  62512
27567 somaiyahsultani   0.0 408226400   4592
27568 somaiyahsultani   0.3 408918384  56912
27569 somaiyahsultani   0.8 408991232 132944
27570 somaiyahsultani   0.1 408748608  19088
27571 somaiyahsultani   0.1 408991872   8832
27573 somaiyahsultani   0.1 408752272  20624
27575 somaiyahsultani   0.2 408761920  36192
27576 somaiyahsultani   0.2 408749792  26816
27577 somaiyahsultani   0.1 408750304  18496
27578 somaiyahsultani   0.1 408749120  17840
27579 somaiyahsultani   0.1 408749728  18400
27580 somaiyahsultani   0.1 408288400  22912
27581 somaiyahsultani   0.1 408750288  19184
27583 somaiyahsultani   0.2 408750128  25472
27584 somaiyahsultani   0.1 408751792  22464
27585 somaiyahsultani   0.1 408749248  18176
27586 somaiyahsultani   0.1 408749328  22288
27587 somaiyahsultani   0.1 408749952  18272
27774 somaiyahsultani   0.2 1585116608  40240
27775 somaiyahsultani   0.5 1585123984  77200
27797 somaiyahsultani   0.1 409158592  11776
27876 somaiyahsultani   1.0 411943360 171584
27884 somaiyahsultani   0.2 1585107152  41616
27970 somaiyahsultani   0.2 1585062528  37808
28005 somaiyahsultani   0.0 409152112   6784
28572 somaiyahsultani   0.1 409557728  16912
28575 somaiyahsultani   0.5 410062208  85664
28577 somaiyahsultani   0.0 409378112   4288
28578 somaiyahsultani   0.0 409379136   4448
28579 somaiyahsultani   0.3 408918240  43680
28580 somaiyahsultani   0.1 408742208  18432
28581 somaiyahsultani   0.0 408506640   3408
28582 somaiyahsultani   0.0 408178480   3072
29314 somaiyahsultani   0.0 408209136   4992
29375 somaiyahsultani   0.2 408316464  26272
29918 somaiyahsultani   0.0 408047648   2944
29926 somaiyahsultani   1.0 410011088 168992
29943 somaiyahsultani   0.6 498081840  98016
29944 somaiyahsultani   0.9 515216192 157120
29967 somaiyahsultani   0.0 408967488   7872
29969 somaiyahsultani   0.5 497980176  82544
29972 somaiyahsultani   0.0 408949056   3696
29974 somaiyahsultani   0.0 408967488   3824
29975 somaiyahsultani   1.3 515133808 214864
29981 somaiyahsultani   0.0 408817984   4368
29982 somaiyahsultani   0.4 514809776  65824
29985 somaiyahsultani   0.4 514756448  62272
29988 somaiyahsultani   0.0 409107776   4880
31305 somaiyahsultani   0.2 497258128  37616
31306 somaiyahsultani   0.2 497378352  38176
31307 somaiyahsultani   1.3 498087200 210128
31308 somaiyahsultani   2.9 498973648 486176
31309 somaiyahsultani   0.2 497415328  41248
31316 somaiyahsultani   0.2 497112576  35600
31317 somaiyahsultani   1.4 497859776 231936
31318 somaiyahsultani   0.1 408951104  13008
31319 somaiyahsultani   0.0 408927648   7424
31320 somaiyahsultani   4.4 498741136 732304
31321 somaiyahsultani   0.1 409238016  20128
31322 somaiyahsultani   0.1 409369920  23184
31323 somaiyahsultani   0.2 513967600  35104
31324 somaiyahsultani   0.1 408845632  12320
29927 root              0.0 408664912   4752
29928 somaiyahsultani   0.0 408681984   3456
31328 somaiyahsultani   0.0 408635632   1760
31329 root              0.0 408758960   2256

------------------------------Top Memory Usage By Process-------------------------------------



--------------------------------- Top Memory Usage By VM --------------------------------------


-------------------------------------Top Memory by User----------------------------------------



