Report Generated on: *01 ноября 2023 (среда)*

-----------------------------------Memory Audit Script----------------------------------------

---------------------------General and Virtual Memory Overview -------------------------------


Memory Overview:
------------------------------------Memory Usage----------------------------------------------

  PID USER             %MEM      VSZ    RSS
 3546 somaiyahsultani   0.1 408308832  15872
 3835 somaiyahsultani   0.0 408264080   2752
 3896 somaiyahsultani   0.0 408086656   1632
 3904 somaiyahsultani   0.0 408266720   4656
 3905 somaiyahsultani   0.0 408264432   2720
 3941 somaiyahsultani   0.0 408210816   3792
 3961 _spotlight        0.0 408207840   1440
 3964 root              0.0 408264272   3264
 3965 root              0.0 408265568   1248
 4096 root              0.0 408233696   2240
 4097 root              0.0 408102944   1264
 4098 root              0.0 408233456    848
 4099 somaiyahsultani   0.0 408266736   2992
 4100 somaiyahsultani   0.0 408086560   1040
 4105 root              0.0 408268544   3392
 4117 somaiyahsultani   0.0 408264368   1296
 4136 _hidd             0.0 408102400   1488
 4142 root              0.0 408102976   1984
 4145 somaiyahsultani   0.0 408132496   1504
 4156 somaiyahsultani   0.1 408280240  12352
 4177 _applepay         0.0 408269968   6640
 4178 _assetcache       0.0 408265872   3136
 4179 root              0.0 408213120    976
 4193 root              0.0 408233728    512
 4194 somaiyahsultani   0.1 408300864  12096
 4220 somaiyahsultani   0.0 408261312   8240
 4223 root              0.0 408047056      0
 4281 somaiyahsultani   0.0 408216080   1984
 4293 root              0.0 408667552   2480
 4302 somaiyahsultani   0.0 408233552   4720
 4326 root              0.0 408059024   3376
 4339 root              0.1 408284448  19696
 4340 root              0.0 408194112   2352
 4341 root              0.0 408184544   1664
 4403 root              0.0 408052880    928
 4441 somaiyahsultani   0.0 408229360   8256
 4500 somaiyahsultani   0.0 408094768   2688
 4507 somaiyahsultani   0.0 408078544   1072
 4823 root              0.0 408248976   2272
 4824 somaiyahsultani   0.0 408845040   3520
 4946 root              0.0 408267984   4672
 4947 root              0.0 408213504   2272
 4970 root              0.0 409115952   1040
 5023 somaiyahsultani   0.0 408237808    928
 5276 somaiyahsultani   0.0 408264480   4992
 5307 root              0.0 408234048   1776
 5312 somaiyahsultani   0.2 409196112  35392
 5313 somaiyahsultani   0.0 408271104   1936
 5317 root              0.0 408047264   1248
 5319 somaiyahsultani   0.0 408830576   2416
 5332 root              0.0 408047952      0
 5334 root              0.0 408199552   1616
 5375 root              0.0 409219968   5408
 5378 somaiyahsultani   0.1 408267472   9104
 5379 _accessoryupdater  0.0 408208608   1648
 5380 root              0.0 408264704   5152
 5381 somaiyahsultani   0.0 408091904   2288
 5383 somaiyahsultani   0.0 408230960   3184
 5384 _rmd              0.0 408211168   1424
 5385 root              0.0 408039456    704
 5386 somaiyahsultani   0.0 408229600   3856
 5387 somaiyahsultani   0.0 408211184   1392
 5417 _rmd              0.0 408637552      0
 5420 somaiyahsultani   0.0 408637552      0
 5441 somaiyahsultani   0.0 408768624      0
 5442 _rmd              0.0 408768624      0
 5455 _rmd              0.0 408637552      0
 5456 somaiyahsultani   0.0 408637552      0
 5474 _rmd              0.0 408637744      0
 5475 somaiyahsultani   0.0 408693040   2256
 5476 _rmd              0.0 408667312   1136
 5477 somaiyahsultani   0.0 408667328   1152
 5479 root              0.0 408257040   2880
 5494 somaiyahsultani   0.0 408198224   1072
 5495 somaiyahsultani   0.1 408133904  10464
 5496 somaiyahsultani   0.1 409218960  24016
 5497 somaiyahsultani   0.0 408245520   8016
 5499 root              0.0 408217664   1824
 5500 _accessoryupdater  0.0 408263632   2720
 5501 _accessoryupdater  0.0 408212544   2224
 5516 somaiyahsultani   0.1 408243808   8976
 5517 root              0.0 408048352   1776
 5518 _gamecontrollerd  0.0 408265024   5776
 5519 _gamecontrollerd  0.0 408799216   3088
 5520 somaiyahsultani   0.0 408234064   1344
 5527 _softwareupdate   0.0 408211232   2624
 5528 root              0.0 408079024   1024
 5529 root              0.0 408077408   1536
 5534 somaiyahsultani   0.0 408047088   1616
 5537 root              0.0 408211728    768
 5539 _softwareupdate   0.0 408225856   1248
 5545 root              0.0 408178160   1104
 5546 root              0.0 408039456    640
 5566 root              0.0 408047648      0
 5599 _datadetectors    0.0 408178160   1760
 5965 root              0.1 408267808  22784
 6217 _applepay         0.0 408246048   7104
 6525 root              0.0 408215472   3296
 6599 somaiyahsultani   0.0 408398976   3264
 6688 _captiveagent     0.0 408264640   3520
 7031 _softwareupdate   0.0 408505552      0
 7035 _assetcache       0.0 408260880   5616
 7036 _nsurlsessiond    0.0 408826960   4864
 7040 _softwareupdate   0.0 408215936   4000
 7041 root              0.0 408801168   3632
 7168 root              0.0 408206960   2624
 7263 somaiyahsultani   0.0 408066624   2704
 7679 somaiyahsultani   0.1 412729984   8784
 7714 somaiyahsultani   0.0 408282768   7712
 7715 somaiyahsultani   0.0 408966464    992
 7717 somaiyahsultani   0.1 408325808   9440
 7718 somaiyahsultani   0.0 408827200    992
 7742 root              0.0 408211616   4736
 7786 somaiyahsultani   0.0 408233552   7856
 7793 somaiyahsultani   0.0 408178784   2048
 8019 root              0.0 408086560   1072
 8068 somaiyahsultani   0.0 408409872   2544
 8388 somaiyahsultani   0.1 408277712  16464
 8440 somaiyahsultani   0.0 409249360   2048
 8469 somaiyahsultani   0.0 408506832    336
 8592 root              0.0 408207440    848
 8752 _accessoryupdater  0.0 408077520    976
 8867 somaiyahsultani   0.0 408254832   7408
 9090 somaiyahsultani   0.0 408233584   3312
 9093 somaiyahsultani   1.7 415830496 290176
 9095 somaiyahsultani   0.8 413882992 136304
 9096 somaiyahsultani   0.0 408234048      0
 9097 somaiyahsultani   0.0 408897168   5968
 9098 somaiyahsultani   0.1 408945808  23648
 9101 somaiyahsultani   0.4 409013184  61792
 9103 somaiyahsultani   0.1 408884288  24192
 9112 somaiyahsultani   0.0 408274016   4144
 9123 somaiyahsultani   0.0 408246000    896
 9132 somaiyahsultani   0.0 408265008   6544
 9141 somaiyahsultani   0.1 408322912  18752
 9236 somaiyahsultani   0.0 408264432   3632
 9269 somaiyahsultani   1.0 414594000 173120
 9271 somaiyahsultani   0.0 408188992      0
 9275 somaiyahsultani   0.0 409093904   6208
 9592 root              0.0 408239488   2080
11446 somaiyahsultani   0.1 409690416   8544
12033 _nsurlsessiond    0.0 408234128   1440
12452 root              0.0 408066080      0
12477 root              0.0 408234112   4336
12478 somaiyahsultani   0.0 408235136   4768
12557 somaiyahsultani   0.0 408208448      0
13179 somaiyahsultani   1.6 415141968 267424
13181 somaiyahsultani   0.2 497852944  31792
13182 somaiyahsultani   0.0 408217664      0
13184 somaiyahsultani   0.0 412690704   8112
13188 somaiyahsultani   0.5 514853328  82048
13211 somaiyahsultani   0.0 408844608   1024
13212 somaiyahsultani   0.0 408938000      0
13215 somaiyahsultani   0.0 409247040   1008
13216 somaiyahsultani   0.0 409115968   1056
13217 somaiyahsultani   0.0 408224832      0
13218 somaiyahsultani   0.0 408206400      0
13738 somaiyahsultani   0.4 408984496  65616
13739 somaiyahsultani   0.0 408742272   8288
14015 somaiyahsultani   0.0 408227568    880
14421 root              0.0 408247024    464
14458 somaiyahsultani   0.0 408975680   1040
14463 somaiyahsultani   0.0 408075392   1440
15416 somaiyahsultani   0.9 413844080 148016
15431 somaiyahsultani   0.0 408680064      0
15432 somaiyahsultani   0.0 409082176      0
15433 somaiyahsultani   0.0 408679024      0
15440 somaiyahsultani   0.0 408338496      0
15453 somaiyahsultani   0.1 408941968  17008
15454 somaiyahsultani   0.0 408741712   7600
15465 somaiyahsultani   0.0 409247040   1024
15470 somaiyahsultani   0.0 408851968   1088
15546 somaiyahsultani   0.0 408264912   7472
15677 root              0.0 408268400    944
16467 somaiyahsultani   0.3 408396752  43664
16891 somaiyahsultani   0.0 408237808    912
16931 somaiyahsultani   0.0 409097536   1040
17123 somaiyahsultani   0.5 410078448  88672
17124 somaiyahsultani   0.1 408915792  16544
17125 somaiyahsultani   0.0 408741696   7616
17176 somaiyahsultani   0.0 408636656      0
17183 somaiyahsultani   0.0 408496576      0
17193 somaiyahsultani   0.0 408636656      0
17199 somaiyahsultani   0.0 408505792      0
17201 somaiyahsultani   0.0 408646896      0
17207 somaiyahsultani   0.0 408505792      0
17209 somaiyahsultani   0.0 408655088      0
17211 somaiyahsultani   0.0 408507840      0
17219 somaiyahsultani   0.0 408644848      0
17225 somaiyahsultani   0.0 408508864      0
17227 somaiyahsultani   0.0 408636656      0
17233 somaiyahsultani   0.0 408507840      0
17235 somaiyahsultani   0.0 408645872      0
17237 somaiyahsultani   0.0 408506816      0
17247 somaiyahsultani   0.0 408645872      0
17253 somaiyahsultani   0.0 408498624      0
17255 somaiyahsultani   0.0 408637680      0
17261 somaiyahsultani   0.0 408517056      0
17263 somaiyahsultani   0.0 408636656      0
17265 somaiyahsultani   0.0 408506816      0
17273 somaiyahsultani   0.0 408627440      0
17278 somaiyahsultani   0.0 408506816      0
17365 somaiyahsultani   0.0 408636656      0
17370 somaiyahsultani   0.0 408506816      0
17378 somaiyahsultani   0.0 408645872      0
17384 somaiyahsultani   0.0 408516032      0
17386 somaiyahsultani   0.0 408644848      0
17392 somaiyahsultani   0.0 408515008      0
17394 somaiyahsultani   0.0 408646896      0
17396 somaiyahsultani   0.0 408515008      0
17481 somaiyahsultani   0.0 408637680      0
17487 somaiyahsultani   0.0 408507840      0
17489 somaiyahsultani   0.0 408637680      0
17495 somaiyahsultani   0.0 408523200      0
17497 somaiyahsultani   0.0 408637680      0
17499 somaiyahsultani   0.0 408506816      0
17515 somaiyahsultani   0.0 408656112      0
17516 somaiyahsultani   0.0 408645872      0
17517 somaiyahsultani   0.0 408637680      0
17520 somaiyahsultani   0.0 408506816      0
17521 somaiyahsultani   0.0 408505792      0
17525 somaiyahsultani   0.0 408505792      0
17537 somaiyahsultani   0.0 408628464      0
17538 somaiyahsultani   0.0 408636656      0
17544 somaiyahsultani   0.0 408507840      0
17547 somaiyahsultani   0.0 408525248      0
17549 somaiyahsultani   0.0 408639728      0
17551 somaiyahsultani   0.0 408505792      0
17559 somaiyahsultani   0.0 408636656      0
17565 somaiyahsultani   0.0 408507840      0
17567 somaiyahsultani   0.0 408646896      0
17573 somaiyahsultani   0.0 408506816      0
17575 somaiyahsultani   0.0 408646896      0
17577 somaiyahsultani   0.0 408513984      0
17584 somaiyahsultani   0.0 408645872      0
17588 somaiyahsultani   0.0 408636656      0
17592 somaiyahsultani   0.0 408636656      0
17606 somaiyahsultani   0.0 408506816      0
17607 somaiyahsultani   0.0 408507840      0
17608 somaiyahsultani   0.0 408498624      0
17617 somaiyahsultani   0.0 408628464      0
17623 somaiyahsultani   0.0 408506816      0
17631 somaiyahsultani   0.0 408645872      0
17637 somaiyahsultani   0.0 408505792      0
17639 somaiyahsultani   0.0 408637680      0
17645 somaiyahsultani   0.0 408505792      0
17647 somaiyahsultani   0.0 408637680      0
17649 somaiyahsultani   0.0 408496576      0
17658 somaiyahsultani   0.0 408636656      0
17664 somaiyahsultani   0.0 408506816      0
17666 somaiyahsultani   0.0 408636656      0
17672 somaiyahsultani   0.0 408497600      0
17674 somaiyahsultani   0.0 408628464      0
17676 somaiyahsultani   0.0 408506816      0
17683 somaiyahsultani   0.0 408627440      0
17687 somaiyahsultani   0.0 408627440      0
17691 somaiyahsultani   0.0 408636656      0
17704 somaiyahsultani   0.0 408506816      0
17705 somaiyahsultani   0.0 408505792      0
17708 somaiyahsultani   0.0 408515008      0
17715 somaiyahsultani   0.0 408636656      0
17719 somaiyahsultani   0.0 408637680      0
17728 somaiyahsultani   0.0 408505792      0
17729 somaiyahsultani   0.0 408516032      0
17928 somaiyahsultani   0.0 408209136    976
18622 somaiyahsultani   0.6 410442768 108368
18623 somaiyahsultani   0.2 408974112  32272
18624 somaiyahsultani   0.0 408742720   8144
18625 somaiyahsultani   0.0 408255216    896
18633 somaiyahsultani   0.0 408247680   3360
18698 root              0.0 408218016   5984
18885 somaiyahsultani   0.0 408856448   2208
18886 somaiyahsultani   0.0 408270832   1056
18887 somaiyahsultani   0.0 408198208      0
18921 somaiyahsultani   0.0 408265024   3504
19185 root              0.2 408318752  36784
19195 _driverkit        0.0 408497920    816
19557 _trustd           0.1 408356928  14288
19570 somaiyahsultani   0.1 408354800  16304
19571 _spotlight        0.1 408242656   8992
19575 somaiyahsultani   0.0 408536624   4992
19577 root              0.0 408506032   2448
19765 somaiyahsultani   1.5 515235440 250320
19767 somaiyahsultani   0.0 408975792   4352
19805 somaiyahsultani   0.8 1585840896 126032
19807 somaiyahsultani   0.0 441604928   4544
19808 somaiyahsultani   0.3 441999776  45696
19809 somaiyahsultani   0.2 441883104  30240
19810 somaiyahsultani   0.0 409112896   6880
19811 somaiyahsultani   1.1 1595732592 180352
19819 somaiyahsultani   0.4 1585116976  69328
19844 somaiyahsultani   0.4 408993584  61888
19845 somaiyahsultani   0.1 408743232  18848
19869 somaiyahsultani   0.0 408695744   6480
19870 somaiyahsultani   0.0 409247536   4528
19916 somaiyahsultani   0.1 408283536  23456
19959 somaiyahsultani   0.3 1585153472  42816
19960 somaiyahsultani   0.5 1585151312  91088
19984 somaiyahsultani   0.1 409092032  12928
19993 somaiyahsultani   0.0 409176688   7104
20026 somaiyahsultani   0.4 514633520  66416
20028 somaiyahsultani   0.4 497725392  66304
20029 somaiyahsultani   0.1 409107776   8624
20410 somaiyahsultani   0.0 409098560   4464
20461 somaiyahsultani   0.6 500028240 104848
20462 somaiyahsultani   0.0 409379136   4640
20463 somaiyahsultani   0.0 408975680   4608
20498 somaiyahsultani   0.4 409854032  62480
20499 somaiyahsultani   0.0 408817984   4320
